calculator_name,calculator_url,query,normalized_query,clicks,impressions,ctr,average_position,period_start,period_end,position_group,query_character,seo_review_status,direct_relevance
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,결정값 계산기,결정값 계산기,0,11,0%,9.64,2026-06-24,2026-08-04,4~10위,검색 의도 불명확,관련성 낮음,아니오
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매금액,판매금액,0,10,0%,6.2,2026-06-24,2026-08-04,4~10위,제도·기준 확인,CTR 개선 후보,예
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매가 계산기,판매가 계산기,0,4,0%,23.75,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,콘텐츠 확장 후보,예
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매 수수료 계산기,판매 수수료 계산기,0,3,0%,53,2026-06-24,2026-08-04,51위 이하,계산기 직접 검색,관찰 필요,예
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,크림 수수료 계산기,크림 수수료 계산기,0,2,0%,8.5,2026-06-24,2026-08-04,4~10위,브랜드·서비스명,데이터 부족,예
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,원가 계산기,원가 계산기,0,2,0%,64.5,2026-06-24,2026-08-04,51위 이하,계산기 직접 검색,데이터 부족,예
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,판매 금액,판매 금액,0,1,0%,8,2026-06-24,2026-08-04,4~10위,제도·기준 확인,데이터 부족,예
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,결정값계산기,결정값계산기,0,1,0%,10,2026-06-24,2026-08-04,4~10위,검색 의도 불명확,관련성 낮음,아니오
부가세,https://gyesanbox.kr/calculators/vat-profit/,부가세 계산기,부가세 계산기,0,2,0%,52.5,2026-06-24,2026-08-04,51위 이하,계산기 직접 검색,데이터 부족,예
부가세,https://gyesanbox.kr/calculators/vat-profit/,세액 계산,세액 계산,0,1,0%,42,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
부가세,https://gyesanbox.kr/calculators/vat-profit/,부가세 포함 계산,부가세 포함 계산,0,1,0%,54,2026-06-24,2026-08-04,51위 이하,계산 방법 검색,데이터 부족,예
부가세,https://gyesanbox.kr/calculators/vat-profit/,부가세 계산,부가세 계산,0,1,0%,60,2026-06-24,2026-08-04,51위 이하,계산 방법 검색,데이터 부족,예
